ano,mes,data,regiao,uf,fonte_energia,producao_mwh,consumo_mwh,capacidade_instalada,emissao_co2,custo_medio_mwh,percentual_renovavel,nivel_demanda
2015,1,2015-01-01,Norte,AM,Hidrelétrica,80517.98,88545.1,112725.18,3220.72,190.27,95,Alto
2015,1,2015-01-01,Norte,AM,Eólica,30360.65,33758.78,42504.91,1214.43,220.31,95,Alto
2015,1,2015-01-01,Norte,AM,Solar,16483.09,15341.74,23076.32,659.32,409.55,95,Médio
2015,1,2015-01-01,Norte,AM,Termelétrica,37984.27,41240.83,53177.98,24689.78,346.92,10,Alto
2015,1,2015-01-01,Norte,AM,Biomassa,22243.62,24886.82,31141.07,889.74,286.56,95,Alto
2015,1,2015-01-01,Norte,AM,Nuclear,100.0,112.99,140.0,4.0,289.16,95,Crítico
2015,1,2015-01-01,Norte,PA,Hidrelétrica,80478.76,87814.52,112670.27,3219.15,274.68,95,Alto
2015,1,2015-01-01,Norte,PA,Eólica,46912.6,51627.68,65677.63,1876.5,207.17,95,Alto
2015,1,2015-01-01,Norte,PA,Solar,21251.85,21901.58,29752.6,850.07,341.66,95,Alto
2015,1,2015-01-01,Norte,PA,Termelétrica,26514.57,26548.28,37120.4,17234.47,334.83,10,Alto
2015,1,2015-01-01,Norte,PA,Biomassa,8528.53,8757.25,11939.94,341.14,425.23,95,Alto
2015,1,2015-01-01,Norte,PA,Nuclear,953.78,736.33,1335.29,38.15,362.51,95,Baixo
2015,1,2015-01-01,Norte,RO,Hidrelétrica,74869.67,60382.41,104817.54,2994.79,191.79,95,Baixo
2015,1,2015-01-01,Norte,RO,Eólica,21510.79,19776.81,30115.11,860.43,291.12,95,Médio
2015,1,2015-01-01,Norte,RO,Solar,33453.98,25563.06,46835.57,1338.16,378.71,95,Baixo
2015,1,2015-01-01,Norte,RO,Termelétrica,52140.96,46566.32,72997.35,33891.63,304.6,10,Médio
2015,1,2015-01-01,Norte,RO,Biomassa,23785.44,26600.29,33299.61,951.42,343.7,95,Alto
2015,1,2015-01-01,Norte,RO,Nuclear,15091.19,12296.87,21127.67,603.65,277.62,95,Baixo
2015,1,2015-01-01,Norte,TO,Hidrelétrica,82551.88,78081.37,115572.63,3302.08,281.05,95,Médio
2015,1,2015-01-01,Norte,TO,Eólica,34893.78,31241.52,48851.29,1395.75,189.39,95,Médio
2015,1,2015-01-01,Norte,TO,Solar,18940.81,16018.55,26517.13,757.63,341.85,95,Baixo
2015,1,2015-01-01,Norte,TO,Termelétrica,28803.3,26428.71,40324.63,18722.15,162.58,10,Médio
2015,1,2015-01-01,Norte,TO,Biomassa,17665.94,13736.35,24732.32,706.64,282.22,95,Baixo
2015,1,2015-01-01,Norte,TO,Nuclear,100.0,111.05,140.0,4.0,394.22,95,Alto
2015,1,2015-01-01,Nordeste,BA,Hidrelétrica,66567.57,71172.06,93194.6,2662.7,332.62,95,Alto
2015,1,2015-01-01,Nordeste,BA,Eólica,23955.55,23326.14,33537.78,958.22,253.83,95,Médio
2015,1,2015-01-01,Nordeste,BA,Solar,18093.57,17971.78,25330.99,723.74,324.58,95,Médio
2015,1,2015-01-01,Nordeste,BA,Termelétrica,37007.4,37530.2,51810.35,24054.81,295.61,10,Alto
2015,1,2015-01-01,Nordeste,BA,Biomassa,6295.29,4851.89,8813.4,251.81,225.11,95,Baixo
2015,1,2015-01-01,Nordeste,BA,Nuclear,4999.1,3871.62,6998.74,199.96,337.21,95,Baixo
2015,1,2015-01-01,Nordeste,PE,Hidrelétrica,66983.23,73100.81,93776.52,2679.33,301.5,95,Alto
2015,1,2015-01-01,Nordeste,PE,Eólica,33605.24,25616.5,47047.34,1344.21,218.21,95,Baixo
2015,1,2015-01-01,Nordeste,PE,Solar,46602.77,40228.61,65243.88,1864.11,257.77,95,Médio
2015,1,2015-01-01,Nordeste,PE,Termelétrica,26425.8,25428.84,36996.11,17176.77,360.92,10,Médio
2015,1,2015-01-01,Nordeste,PE,Biomassa,24404.15,23487.59,34165.81,976.17,438.1,95,Médio
2015,1,2015-01-01,Nordeste,PE,Nuclear,2834.26,3239.03,3967.97,113.37,272.2,95,Crítico
2015,1,2015-01-01,Nordeste,CE,Hidrelétrica,84356.58,84102.5,118099.22,3374.26,390.29,95,Médio
2015,1,2015-01-01,Nordeste,CE,Eólica,33528.16,38370.14,46939.42,1341.13,310.74,95,Crítico
2015,1,2015-01-01,Nordeste,CE,Solar,20256.56,22114.55,28359.19,810.26,265.69,95,Alto
2015,1,2015-01-01,Nordeste,CE,Termelétrica,38332.35,34767.05,53665.29,24916.03,190.86,10,Médio
2015,1,2015-01-01,Nordeste,CE,Biomassa,15921.63,14928.81,22290.29,636.87,246.65,95,Médio
2015,1,2015-01-01,Nordeste,CE,Nuclear,6343.58,6890.36,8881.02,253.74,277.44,95,Alto
2015,1,2015-01-01,Nordeste,MA,Hidrelétrica,56422.0,47630.88,78990.8,2256.88,267.87,95,Baixo
2015,1,2015-01-01,Nordeste,MA,Eólica,32675.28,25314.33,45745.39,1307.01,321.21,95,Baixo
2015,1,2015-01-01,Nordeste,MA,Solar,35088.01,37358.35,49123.21,1403.52,312.42,95,Alto
2015,1,2015-01-01,Nordeste,MA,Termelétrica,17083.39,15809.08,23916.75,11104.2,379.99,10,Médio
2015,1,2015-01-01,Nordeste,MA,Biomassa,26232.51,21767.17,36725.52,1049.3,206.3,95,Baixo
2015,1,2015-01-01,Nordeste,MA,Nuclear,9283.95,8727.26,12997.52,371.36,201.71,95,Médio
2015,1,2015-01-01,Nordeste,PB,Hidrelétrica,71170.19,58403.28,99638.27,2846.81,248.95,95,Baixo
2015,1,2015-01-01,Nordeste,PB,Eólica,36726.6,29571.91,51417.23,1469.06,239.88,95,Baixo
2015,1,2015-01-01,Nordeste,PB,Solar,26292.17,19835.03,36809.04,1051.69,411.95,95,Baixo
2015,1,2015-01-01,Nordeste,PB,Termelétrica,42504.11,47600.65,59505.75,27627.67,203.74,10,Alto
2015,1,2015-01-01,Nordeste,PB,Biomassa,11155.33,11850.34,15617.46,446.21,356.57,95,Alto
2015,1,2015-01-01,Nordeste,PB,Nuclear,9823.67,8148.56,13753.14,392.95,414.58,95,Baixo
2015,1,2015-01-01,Centro-Oeste,DF,Hidrelétrica,65363.9,63868.45,91509.46,2614.56,259.76,95,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Eólica,29183.77,22274.39,40857.28,1167.35,204.9,95,Baixo
2015,1,2015-01-01,Centro-Oeste,DF,Solar,26767.1,25519.8,37473.93,1070.68,246.86,95,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Termelétrica,40439.42,41956.24,56615.19,26285.62,448.82,10,Alto
